"id","limits"
"300","0;11;19;68;127"
"301","0;11;72;127"
"302","0;21;127"
"303","0;27;126"
"304","0;24;127"
"305","0;70;125"
"306","0;15;60;127"
"307","0;15;85;127"
"308","0;16;108;127"
"309","0;21;127"
"310","0;88;127"
"311","0;20;127"
"312","0;23;73;91;127"
"313","0;86;104;127"
"314","0;24;127"
"315","0;16;119;127"
"316","0;73;127"
"317","0;27;97;127"
"318","0;28;80;127"
"319","0;21;127"
"320","0;14;127"
"321","0;16;56;127"
"322","0;27;64;112;126"
"323","0;70;127"
"324","0;22;127"
"325","0;25;127"
"326","0;16;108;127"
"327","0;16;88;99;127"
"328","0;80;127"
"329","0;17;60;127"
"330","0;107;127"
"331","0;28;115;121;127"
"332","0;18;76;127"
"333","0;18;72;127"
"334","0;89;121;127"
"335","0;18;64;127"
"336","0;24;76;127"
"337","0;78;127"
"338","0;75;127"
"339","0;89;127"
"340","0;33;45;104;127"
"341","0;25;77;127"
"342","0;99;127"
"343","0;70;87;127"
"344","0;23;127"
"345","0;53;127"
"346","0;24;127"
"347","0;29;127"
"348","0;22;120;127"
"349","0;80;84;102;117;127"
"350","0;18;80;127"
"351","0;19;107;127"
"352","0;18;113;127"
"353","0;96;127"
"354","0;96;127"
"355","0;24;74;127"
"356","0;65;108;127"
"357","0;16;127"
"358","0;91;127"
"359","0;17;67;116;127"
"360","0;15;92;124;127"
"361","0;26;41;111;127"
"362","0;24;127"
"363","0;26;127"
"364","0;7;26;91;127"
"365","0;14;70;127"
"366","0;28;127"
"367","0;84;127"
"368","0;66;127"
"369","0;105;127"
"370","0;28;127"
"371","0;89;127"
"372","0;80;127"
"373","0;17;21;127"
"374","0;90;127"
"375","0;14;121;127"
"376","0;17;24;70;127"
"377","0;18;127"
"378","0;19;109;127"
"379","0;84;127"
"380","0;6;45;107;127"
"381","0;20;127"
"382","0;24;127"
"383","0;29;127"
"384","0;25;83;127"
"385","0;99;127"
"386","0;29;77;127"
"387","0;29;40;78;127"
"388","0;24;117;127"
"389","0;94;127"
"390","0;27;127"
"391","0;19;82;127"
"392","0;19;107;127"
"393","0;11;103;127"
"394","0;11;110;127"
"395","0;22;84;127"
"396","0;17;111;127"
"397","0;26;58;116;127"
"398","0;15;91;127"
"399","0;27;127"
"400","0;22;65;127"
"401","0;71;127"
"402","0;22;123;127"
"403","0;29;127"
"404","0;11;74;127"
"405","0;22;85;127"
"406","0;94;124;127"
"407","0;17;127"
"408","0;24;77;127"
"409","0;17;20;86;127"
"410","0;89;127"
"411","0;21;84;127"
"412","0;24;30;77;127"
"413","0;22;103;126"
"414","0;28;64;127"
"415","0;24;127"
"416","0;16;93;127"
"417","0;25;127"
"418","0;24;127"
"419","0;69;127"
"420","0;59;105;127"
"421","0;20;76;127"
"422","0;91;127"
"423","0;26;127"
"424","0;21;127"
"425","0;25;127"
"426","0;23;95;127"
"427","0;17;95;127"
"428","0;29;127"
"429","0;88;127"
"430","0;12;18;23;127"
"431","0;20;66;127"
"432","0;27;44;101;105;127"
"433","0;24;28;106;127"
"434","0;105;127"
"435","0;27;83;127"
"436","0;16;64;125"
"437","0;53;101;106;127"
"438","0;20;118;127"
"439","0;72;127"
"440","0;93;127"
"441","0;67;127"
"442","0;92;98;127"
"443","0;29;99;127"
"444","0;25;127"
"445","0;118;127"
"446","0;20;127"
"447","0;20;127"
"448","0;29;127"
"449","0;29;127"
"450","0;15;80;119;127"
"451","0;14;125"
"452","0;84;127"
"453","0;28;72;127"
"454","0;14;85;127"
"455","0;18;80;127"
"456","0;25;78;127"
"457","0;17;123;127"
"458","0;16;127"
"459","0;123;127"
"460","0;24;60;94;115;119;127"
"461","0;19;32;98;127"
"462","0;64;127"
"463","0;27;87;127"
"464","0;22;127"
"465","0;22;61;127"
"466","0;101;127"
"467","0;93;104;127"
"468","0;90;127"
"469","0;28;126"
"470","0;72;127"
"471","0;28;52;64;127"
"472","0;30;127"
"473","0;14;18;65;127"
"474","0;25;63;127"
"475","0;29;33;114;118;127"
"476","0;17;79;127"
"477","0;105;127"
"478","0;20;83;127"
"479","0;18;93;121;127"
"480","0;18;123;127"
"481","0;19;127"
"482","0;14;96;101;127"
"483","0;28;127"
"484","0;87;127"
"485","0;29;127"
"486","0;25;120;127"
"487","0;24;127"
"488","0;20;24;82;96;120;127"
"489","0;98;127"
"490","0;15;83;127"
"491","0;18;127"
"492","0;28;102;114;127"
"493","0;88;127"
"494","0;15;80;127"
"495","0;96;127"
"496","0;88;127"
"497","0;16;127"
"498","0;18;66;127"
"499","0;76;114;127"
"500","0;27;64;127"
"501","0;88;120;127"
"502","0;74;127"
"503","0;19;88;127"
"504","0;20;50;106;127"
"505","0;116;127"
"506","0;105;127"
"507","0;21;127"
"508","0;63;94;127"
"509","0;98;127"
"510","0;26;87;127"
"511","0;119;127"
"512","0;17;127"
"513","0;73;127"
"514","0;17;86;107;125"
"515","0;22;78;127"
"516","0;26;59;127"
"517","0;83;127"
"518","0;95;127"
"519","0;22;31;82;127"
"520","0;18;125"
"521","0;6;112;127"
"522","0;77;127"
"523","0;27;127"
"524","0;29;36;115;127"
"525","0;29;60;127"
"526","0;21;127"
"527","0;27;127"
"528","0;22;104;127"
"529","0;24;127"
"530","0;25;103;127"
"531","0;30;73;127"
"532","0;28;35;82;127"
"533","0;116;127"
"534","0;9;85;127"
"535","0;93;127"
"536","0;15;62;92;127"
"537","0;20;127"
"538","0;22;127"
"539","0;13;47;127"
"540","0;24;39;46;125"
"541","0;26;127"
"542","0;17;95;127"
"543","0;17;109;127"
"544","0;21;127"
"545","0;19;127"
"546","0;18;81;127"
"547","0;25;126"
"548","0;104;127"
"549","0;25;108;127"
"550","0;58;110;127"
"551","0;114;127"
"552","0;16;122;127"
"553","0;74;127"
"554","0;25;120;127"
"555","0;23;127"
"556","0;21;99;127"
"557","0;99;127"
"558","0;99;127"
"559","0;27;74;127"
"560","0;78;127"
"561","0;27;51;127"
"562","0;15;56;115;127"
"563","0;29;68;127"
"564","0;23;64;127"
"565","0;21;127"
"566","0;89;127"
"567","0;24;127"
"568","0;68;102;127"
"569","0;15;127"
"570","0;25;69;102;127"
"571","0;23;127"
"572","0;124;127"
"573","0;18;81;127"
"574","0;28;112;127"
"575","0;16;76;121;127"
"576","0;28;89;111;127"
"577","0;23;95;127"
"578","0;22;71;127"
"579","0;64;127"
"580","0;17;127"
"581","0;87;127"
"582","0;38;112;127"
"583","0;18;66;127"
"584","0;22;127"
"585","0;95;127"
"586","0;19;58;91;97;127"
"587","0;76;84;127"
"588","0;16;123;127"
"589","0;21;66;127"
"590","0;24;127"
"591","0;17;71;122;127"
"592","0;73;127"
"593","0;19;65;127"
"594","0;103;127"
"595","0;83;127"
"596","0;68;120;127"
"597","0;74;127"
"598","0;14;93;100;127"
"599","0;21;30;93;127"
"600","0;25;127"
"601","0;21;26;116;127"
"602","0;21;81;127"
"603","0;104;127"
"604","0;18;107;127"
"605","0;21;103;127"
"606","0;27;127"
"607","0;21;113;127"
"608","0;80;127"
"609","0;27;126"
"610","0;7;50;127"
"611","0;23;96;104;127"
"612","0;85;127"
"613","0;15;99;127"
"614","0;17;73;127"
"615","0;99;127"
"616","0;25;127"
"617","0;15;63;127"
"618","0;29;99;127"
"619","0;65;87;127"
"620","0;23;127"
"621","0;18;126"
"622","0;81;127"
"623","0;20;127"
"624","0;87;127"
"625","0;21;123;127"
"626","0;27;76;127"
"627","0;14;102;127"
"628","0;21;127"
"629","0;12;110;127"
"630","0;27;71;127"
"631","0;17;125"
"632","0;105;127"
"633","0;15;28;66;127"
"634","0;102;127"
"635","0;13;26;67;127"
"636","0;27;127"
"637","0;97;127"
"638","0;21;73;121;127"
"639","0;13;28;54;122;127"
"640","0;107;127"
"641","0;15;55;126"
"642","0;49;125"
"643","0;71;127"
"644","0;23;110;127"
"645","0;16;126"
"646","0;19;92;127"
"647","0;25;127"
"648","0;14;76;127"
"649","0;14;123;127"
"650","0;22;127"
"651","0;99;127"
"652","0;15;118;127"
"653","0;14;26;116;127"
"654","0;23;127"
"655","0;10;27;56;127"
"656","0;21;114;127"
"657","0;105;127"
"658","0;15;127"
"659","0;78;127"
"660","0;29;52;86;127"
"661","0;17;109;127"
"662","0;100;127"
"663","0;127"
"664","0;15;126"
"665","0;78;127"
"666","0;64;111;127"
"667","0;25;127"
"668","0;27;127"
"669","0;24;69;127"
"670","0;18;104;127"
"671","0;20;81;127"
"672","0;76;127"
"673","0;98;127"
"674","0;28;65;127"
"675","0;71;127"
"676","0;29;127"
"677","0;114;127"
"678","0;63;100;127"
"679","0;29;104;127"
"680","0;69;127"
"681","0;66;127"
"682","0;20;94;127"
"683","0;26;127"
"684","0;14;97;127"
"685","0;27;64;127"
"686","0;27;99;112;127"
"687","0;25;127"
"688","0;14;126"
"689","0;127"
"690","0;25;127"
"691","0;25;127"
"692","0;26;107;127"
"693","0;20;127"
"694","0;21;76;119;127"
"695","0;17;107;127"
"696","0;76;127"
"697","0;21;73;127"
"698","0;23;29;79;99;124;127"
"699","0;14;127"
"700","0;75;127"
"701","0;114;127"
"702","0;83;127"
"703","0;21;127"
"704","0;14;82;124;127"
"705","0;27;33;100;127"
"706","0;25;77;102;106;112;127"
"707","0;23;65;127"
"708","0;23;38;116;127"
"709","0;74;127"
"710","0;6;115;127"
"711","0;107;127"
"712","0;127"
"713","0;82;127"
"714","0;27;127"
"715","0;28;80;127"
"716","0;127"
"717","0;29;127"
"718","0;75;127"
"719","0;14;119;127"
"720","0;18;98;127"
"721","0;106;127"
"722","0;27;53;127"
"723","0;22;74;93;127"
"724","0;27;127"
"725","0;19;127"
"726","0;25;100;127"
"727","0;99;127"
"728","0;19;127"
"729","0;119;127"
"730","0;22;35;96;111;127"
"731","0;68;127"
"732","0;26;72;116;127"
"733","0;74;127"
"734","0;19;44;71;127"
"735","0;3;26;62;116;127"
"736","0;21;92;127"
"737","0;29;127"
"738","0;74;127"
"739","0;26;69;127"
"740","0;64;127"
"741","0;79;127"
"742","0;16;71;127"
"743","0;64;113;127"
"744","0;25;81;114;121;127"
"745","0;15;64;127"
"746","0;22;127"
"747","0;17;50;88;127"
"748","0;25;82;127"
"749","0;71;127"
"750","0;106;127"
"751","0;25;127"
"752","0;24;127"
"753","0;19;91;125"
"754","0;87;127"
"755","0;52;127"
"756","0;24;125"
"757","0;20;46;127"
"758","0;18;105;127"
"759","0;71;127"
"760","0;53;121;127"
"761","0;24;127"
"762","0;24;127"
"763","0;49;103;127"
"764","0;25;34;91;127"
"765","0;14;68;127"
"766","0;7;64;127"
"767","0;78;94;127"
"768","0;27;127"
"769","0;19;46;127"
"770","0;26;127"
"771","0;22;121;127"
"772","0;14;103;127"
"773","0;29;127"
"774","0;23;52;76;100;127"
"775","0;74;119;127"
"776","0;65;127"
"777","0;17;74;127"
"778","0;26;94;127"
"779","0;15;123;127"
"780","0;19;127"
"781","0;25;127"
"782","0;120;127"
"783","0;44;110;127"
"784","0;9;49;88;127"
"785","0;27;66;119;127"
"786","0;3;69;127"
"787","0;96;127"
"788","0;19;120;127"
"789","0;19;127"
"790","0;17;74;127"
"791","0;122;127"
"792","0;22;127"
"793","0;25;55;127"
"794","0;18;127"
"795","0;19;127"
"796","0;16;103;127"
"797","0;105;127"
"798","0;108;127"
"799","0;20;97;127"
"800","0;47;120;127"
"801","0;5;26;56;82;127"
"802","0;23;26;47;110;127"
"803","0;9;23;67;127"
"804","0;18;123;127"
"805","0;77;124;127"
"806","0;19;127"
"807","0;30;127"
"808","0;26;91;127"
"809","0;72;127"
"810","0;77;127"
"811","0;113;127"
"812","0;27;127"
"813","0;85;127"
"814","0;14;127"
"815","0;33;89;101;120;127"
"816","0;19;76;122;127"
"817","0;14;22;76;127"
"818","0;23;64;114;127"
"819","0;23;127"
"820","0;28;127"
"821","0;16;126"
"822","0;93;122;127"
"823","0;101;127"
"824","0;29;127"
"825","0;74;127"
"826","0;15;64;124;127"
"827","0;65;127"
"828","0;71;127"
"829","0;24;127"
"830","0;16;43;66;127"
"831","0;19;22;112;127"
"832","0;28;127"
"833","0;24;75;127"
"834","0;53;106;118;127"
"835","0;19;59;119;127"
"836","0;27;127"
"837","0;20;84;126"
"838","0;87;127"
"839","0;7;23;71;127"
"840","0;19;127"
"841","0;16;122;127"
"842","0;24;76;127"
"843","0;27;113;127"
"844","0;5;110;127"
"845","0;18;100;127"
"846","0;19;127"
"847","0;19;69;89;127"
"848","0;94;127"
"849","0;28;127"
"850","0;15;76;127"
"851","0;18;69;127"
"852","0;87;127"
"853","0;29;67;127"
"854","0;113;127"
"855","0;20;127"
"856","0;18;56;127"
"857","0;18;68;123;127"
"858","0;74;127"
"859","0;99;127"
"860","0;27;127"
"861","0;20;78;127"
"862","0;23;127"
"863","0;29;77;121;127"
"864","0;19;100;127"
"865","0;10;64;127"
"866","0;20;127"
"867","0;21;127"
"868","0;5;15;102;114;127"
"869","0;23;99;127"
"870","0;24;127"
"871","0;114;127"
"872","0;6;19;30;98;127"
"873","0;72;127"
"874","0;21;69;82;90;127"
"875","0;15;112;127"
"876","0;21;86;127"
"877","0;20;77;127"
"878","0;23;127"
"879","0;28;60;127"
"880","0;15;121;127"
"881","0;25;96;127"
"882","0;18;121;127"
"883","0;95;127"
"884","0;26;127"
"885","0;42;127"
"886","0;103;127"
"887","0;118;127"
"888","0;16;127"
"889","0;28;127"
"890","0;6;17;92;99;127"
"891","0;29;76;127"
"892","0;21;127"
"893","0;87;127"
"894","0;28;127"
"895","0;98;127"
"896","0;23;65;127"
"897","0;103;127"
"898","0;14;127"
"899","0;23;77;111;127"
"900","0;21;109;127"
"901","0;26;84;127"
"902","0;15;93;112;127"
"903","0;24;67;127"
"904","0;21;66;127"
"905","0;116;127"
"906","0;65;127"
"907","0;7;19;24;79;89;127"
"908","0;14;127"
"909","0;92;127"
"910","0;18;83;87;122;127"
"911","0;78;127"
"912","0;74;127"
"913","0;23;124;127"
"914","0;88;127"
"915","0;84;116;127"
"916","0;29;127"
"917","0;73;114;127"
"918","0;31;107;127"
"919","0;28;40;103;112;127"
"920","0;17;127"
"921","0;127"
"922","0;63;70;106;125"
"923","0;26;84;106;127"
"924","0;27;42;127"
"925","0;28;126"
"926","0;27;87;127"
"927","0;69;127"
"928","0;25;127"
"929","0;30;127"
"930","0;27;96;127"
